original_ds,df,RiscoOriginal,RiscoTransformado,UtilOriginal,UtilTransformado,model
ds16,ds16_transf0_q3.csv,0.9955,0.047248072,0.999370211,0.998440618,Logistic Regression
ds16,ds16_transf0_q3.csv,0.9955,0.047248072,0.999370211,0.998440618,Logistic Regression
ds16,ds16_transf1_qi3.csv,0.9955,0.046719351,0.999370211,0.99936973,Logistic Regression
ds16,ds16_transf1_qi3.csv,0.9955,0.046719351,0.999370211,0.99936973,Logistic Regression
ds16,ds16_transf1_qi3.csv,0.9955,0.046719351,0.999370211,0.99936973,Logistic Regression
ds16,ds16_transf1_qi3.csv,0.9955,0.046719351,0.999370211,0.99936973,Logistic Regression
ds16,ds16_transf1_qi3.csv,0.9955,0.046719351,0.999370211,0.99936973,Logistic Regression
ds16,ds16_transf1_qi3.csv,0.9955,0.046719351,0.999370211,0.99936973,Logistic Regression
ds14,ds14_transf0_qi1.csv,0.9955,0.046130695,0.991550293,0.984699573,Logistic Regression
ds14,ds14_transf0_qi1.csv,0.9955,0.046130695,0.991550293,0.984699573,Logistic Regression
ds14,ds14_transf0_qi1.csv,0.9955,0.046130695,0.990301636,0.980676691,Logistic Regression
ds14,ds14_transf0_qi1.csv,0.9955,0.046130695,0.990301636,0.980676691,Logistic Regression
ds14,ds14_transf0_qi1.csv,0.9955,0.046130695,0.989075272,0.981644721,Logistic Regression
ds14,ds14_transf0_qi1.csv,0.9955,0.046130695,0.989075272,0.981644721,Logistic Regression
ds4,ds4_transf2_qi2.csv,0.98875,0.04579223,0.988091856,0.98656466,Logistic Regression
ds4,ds4_transf2_qi2.csv,0.98875,0.04579223,0.988091856,0.98656466,Logistic Regression
ds4,ds4_transf2_qi2.csv,0.98875,0.04579223,0.985645238,0.986196412,Logistic Regression
ds4,ds4_transf2_qi2.csv,0.98875,0.04579223,0.985645238,0.986196412,Logistic Regression
ds4,ds4_transf2_qi2.csv,0.98875,0.04579223,0.986547116,0.985260443,Logistic Regression
ds4,ds4_transf2_qi2.csv,0.98875,0.04579223,0.986547116,0.985260443,Logistic Regression
ds16,ds16_transf2_qi4.csv,0.9955,0.044532175,0.999370211,0.998741223,Logistic Regression
ds16,ds16_transf2_qi4.csv,0.9955,0.044532175,0.999370211,0.998741223,Logistic Regression
ds16,ds16_transf2_qi4.csv,0.9955,0.044532175,0.999370211,0.998422816,Logistic Regression
ds16,ds16_transf2_qi4.csv,0.9955,0.044532175,0.999370211,0.998422816,Logistic Regression
ds16,ds16_transf2_qi4.csv,0.9955,0.044532175,0.999370211,0.998741223,Logistic Regression
ds16,ds16_transf2_qi4.csv,0.9955,0.044532175,0.999370211,0.998741223,Logistic Regression
ds8,ds8_transf2_qi0.csv,0.037422463,0.001673263,0.698547783,0.667805373,Logistic Regression
ds8,ds8_transf2_qi0.csv,0.037422463,0.001673263,0.698547783,0.667805373,Logistic Regression
